Supplier;Code;Description;Q;Cost Price;Cost * Q;Sales Pirce;Sales Price * Q
P5;A7187.1;P5 BOWL LEAVES F15x6;-2;2;-4;9;-18
P5;A7187.2;P5 BOWL LEAVES F17x6;-3;2;-7;12;-36
P5;A7189.1;P5 T-LIGHT BAMBOO F15;4;4;18;18;72
P5;A7189.2;P5 T-LIGHT BAMBOO F20;1;6;6;25;25
P14;A7201.3;P14 T-LIGHT POZZO F13.5x18.5;1;7;7;26;26
P14;A7204;P14 T-LIGHT FOLHAS F10x12.5;2;4;9;16;32
P14;A7209;P14 TRAY LEAF 33x20x2;1;12;12;49;49
P14;A7221;P14 ORNAMENT LEAF 30x8x42;1;15;15;59;59
B169;A7225;B169 DECO HORN TEAK 50x5x40;3;14;43;75;225
B169;A7226;B169 DECO MAP TEAK 70x5x60;14;21;288;165;2310
I17;A7229;I17 IRON TRAY 40x40X7;1;14;14;75;75
I17;A7230;I17 IRON BUCKET F29 H19;9;10;88;48;432
I17;A7231BR;I17 PAPER MACHE BOWLS 42x42x23;-1;12;-12;65;-65
;;;;;;;
I17;A7231N;I17 PAPER MACHE BOWLS 42x42x23;1;12;12;65;65
I17;A7232;I17 TRUNK WOODEN 68x45x35;3;80;239;390;1170
I17;A7236;I17 BUCKET IRON STRIP 40x40x30;8;31;245;95;760
I17;A7237;I17 HANGER IRON 130x36x150;1;72;72;450;450
I17;A7238;I17 HANGER IRON 130x50x196;1;92;92;570;570
I17;A7247;I17 WOODEN HORSE STAND IRON 10x17x27;2;48;96;220;440
I17;A7248;I17 MAN STATUE 30x30x74;1;80;80;390;390
I17;A7249;I17 WOODEN PANEL CARVING;1;92;92;570;570
I17;A7254;I17 WOODEN MIRROR 60x3x90;1;48;48;235;235
I17;A7268;I17 MIRROR BRASS/IRON 76x3x110;1;104;104;520;520
P14;A7271;P14 PILLOW RECT GREEN 60x30;1;0;0;49;49
B173;A7272;B173 WOODEN TREE F110 H130;1;0;0;110;110
I95;A7323;I95 VASE STAND F22 H24;1;17;17;85;85
I95;A7324.2;I95 WINDOW WITH MIRRORS 45x4x90;1;14;14;165;165
I95;A7324.3;I95 WINDOW WITH MIRRORS 40x4x100;1;14;14;185;185
I95;A7336;I95 DECO STAND 11x12x19;1;18;18;88;88
I95;A7337.1;I95 DECO BALL F7;4;6;25;20;80
I95;A7337.2;I95 DECO BALL F10;6;6;37;25;150
I95;A7350.2;I95 PLATE ZINC/IRON F61 H5;6;6;37;29;174
;;;;;;;
I95;A7353;I95 COAT HANGER 46x2x10;4;9;34;42;168
I95;A7354;I95 DECO STATUE;1;18;18;54;54
I17;A7355;I17 IRON WATER POTS 25x40x25;15;9;129;48;720
I17;A7356;I17 MIRROR IRON FRAME F55 W3;8;18;147;125;1000
I17;A7357;I17 HANGER IRON 84x42x164;4;68;270;375;1500
I17;A7358;I17 CLOTHES HANGER IRON F46 H178;2;48;96;235;470
I17;A7359;I17 CLOTHES HANGER IRON 64x64x194;4;48;191;235;940
I17;A7360;I17 WALL HOOK/ SHELF IRON 75x30x25;3;23;70;135;405
I17;A7363.1;I17 BOWL IRON F28 H7;2;9;18;42;84
I17;A7363.2;I17 BOWL IRON F33 H8;1;9;9;49;49
I17;A7363.3;I17 BOWL IRON F39 H10;3;9;27;56;168
I17;A7364.1;I17 TRAY IRON 15x15x2;19;6;117;35;665
I17;A7364.2;I17 TRAY IRON  23x23x3;14;6;86;40;560
I17;A7364.3;I17 TRAY IRON 30x30x3;14;6;86;45;630
I17;A7365.1;I17 DECO BOX  WOOD/METAL 28x16x16;2;27;53;75;150
I17;A7365.3;I17 DECO BOX WOOD/METAL 44x32x26;1;27;27;135;135
I17;A7366;I17 MIRROR WOOD 77x3x122;2;55;110;285;570
I17;A7367;I17 MIRROR ROUND;2;80;160;365;730
I17;A7368;I17 DECO LEAF IRON 40x28x4;15;9;129;65;975
;;;;;;;
I17;A7369B;I17 POT IRON F16 H42;1;7;7;90;90
I17;A7369S;I17 POT IRON F16 H42;1;7;7;90;90
I17;A7370;I17 MIRROR WOODEN FRAME 78x3x120;1;104;104;425;425
I17;A7371B;I17 DECO BOX F14 H7;2;6;11;55;110
I17;A7371R;I17 DECO BOX F14 H7;22;6;121;55;1210
I17;A7372;I17 DECO ELEPHANT IRON 7x24x28;5;15;74;85;425
I17;A7373;I17 CLOTHES HANGER IRON F35 H180;1;36;36;245;245
I17;A7374;I17 DECO POT IRON F35 H33;2;27;54;115;230
I17;A7375;I17 COAT HANGER 50x50x180;4;36;142;195;780
I17;A7376;I17 FOLDING CLOTH STAND IRON;4;49;196;225;900
I17;A7377;I17 CLOTH STAND IRON 56x45x185;6;29;177;165;990
I17;A7378;I17 MIRROR WOODEN FRAME 90x3x122;8;68;540;290;2320
I17;A7379;I17 CLOTH STAND IRON;4;104;417;468;1872
I17;A7380;I17 RACK IRON F73 H173;2;307;614;1450;2900
B185;A7383;B185 VASE TERRACOTA F33 H61;1;19;19;196;196
I17;A7387.1;I17 POT IRON 20x12x28;13;9;115;62;806
I17;A7387.2;I17 POT IRON 17x25x30;21;11;232;78;1638
I17;A7387.3;I17 POT IRON 30x18x41;10;14;135;90;900
I17;A7388B;I17 MIRROR IRON FRAME F69 W10;1;43;43;245;245
;;;;;;;
I84;A7391;I84 PILLOW 36x36x4;2;6;12;28;56
I17;A7393.1;I17 HANGER 40x10x10;15;10;147;48;720
I17;A7393.2;I17 HANGER 50x10x10;12;15;177;85;1020
P6;A7396;P6 NAPKINGS 20PCS;1;2;2;5;5
P6;A7402.1;P6 DUCK 30X20;4;5;18;35;140
P6;A7411;P6 WOODEN TRAY ZEBRA 39X28X4,5;3;5;14;25;75
B169;A7414;B169 MIRROR 140x3x60;1;47;47;230;230
B169;A7416;B169 MIRROR 80x3x156;1;47;47;250;250
B169;A7425;B169 MIRROR 190x3x102;1;66;66;330;330
B169;A7431.1B;B169 MIRROR PDH 30x80x2;2;13;25;75;150
B169;A7431.1N;B169 MIRROR PDH 30x80x2;3;17;50;72;216
B169;A7431.1W;B169 MIRROR PDH 30x80x2;8;13;100;75;600
B169;A7431.2B;B169 MIRROR PDH 60X80X2;-1;14;-14;88;-88
B169;A7431.2N;B169 MIRROR PDH 60X80X2;14;20;285;92;1288
B169;A7431.2W;B169 MIRROR PDH 60X80X2;8;14;112;88;704
B172;A7433B;B172 DOOR STOP 12x12x20;10;9;93;35;350
B172;A7433G;B172 DOOR STOP 12x12x20;5;9;46;35;175
B172;A7433W;B172 DOOR STOP 12x12x20;1;9;9;35;35
B172;A7434;B172 LANTERN RATTAN 46x46x51;2;43;86;158;316
;;;;;;;
B172;A7434.1;B172 LANTERN RATTAN 35x35x34;44;26;1144;95;4180
B172;A7434.2;B172 LANTERN RATTAN 40x40x46;15;35;525;130;1950
B169;A7436;B169 BOWL NATURAL F40 H12;2;25;50;125;250
B169;A7437;B169 BOWL NATURAL F40 H10;5;20;99;95;475
B169;A7438.1;B169 BOWL MARBLE LUMPANG F20 H20;1;11;11;54;54
B169;A7438.2;B169 BOWL MARBLE LUMPANG F15 H15;1;10;10;48;48
B169;A7438.3;B169 BOWL MARBLE LUMPANG F12 H12;4;5;19;24;96
B169;A7440;B169 PLATE MARBLE 40x2x12;6;5;28;24;144
B169;A7449;B169 MIRROR 180x3x88;3;79;236;290;870
B169;A7451;B169 LAUNDRY SET;1;16;16;90;90
;A7451.1;B169 LAUNDRY SET;1;0;0;100;100
B169;A7452;B169 BASKET F40 H17;-1;8;-8;95;-95
B169;A7453;B169 BASKET 60X30X15;4;9;38;115;460
B169;A7454;B169 BASKET F40 H18;5;9;47;115;575
B169;A7455;B169 BOWL 30X30X35;3;9;28;115;345
B169;A7456;B169 BOWL 20X18X7;12;2;26;35;420
B169;A7457;B169 BOWL 25X25X11;2;5;9;60;120
B169;A7458;B169 BOWL 20X20X40;1;8;8;95;95
B169;A7459;B169 BOWL 25X22X13;2;5;9;60;120
;;;;;;;
B169;A7460;B169 BOWL 30X25X3;4;3;13;40;160
B169;A7461;B169 BOWL 25X23X35;1;8;8;90;90
B169;A7462;B169 BOWL 30x30;2;4;7;45;90
B169;A7463;B169 BOWL 65X18X9;3;6;19;75;225
B169;A7464;B169 BOWL TRAY 61X18X4;7;5;37;65;455
B169;A7465;B169 BOWL ANTIQUE 30X30X25;2;9;19;115;230
B169;A7466;B169 BOWL 65X17X7;-3;7;-21;85;-255
B169;A7467;B169 BOWL 60X16X6;1;6;6;75;75
B169;A7469;B169 BOWL 50X22X13;18;8;135;90;1620
B169;A7471;B169 BOWL 35X15X5;6;3;15;30;180
B169;A7472;B169 BOWL 70X14X7;1;5;5;60;60
B169;A7473;B169 BOWL VASE F30 H 45;2;6;13;75;150
B169;A7478;B169 CUTTING BOARD 46X24X2;1;3;3;40;40
B169;A7479;B169 BOWL 20X18X6;1;2;2;30;30
B169;A7481;B169 BOWL 30X30X6;6;3;15;30;180
B169;A7482;B169 BOWL 50X13X6;3;5;14;60;180
B169;A7483;B169 BOWL 65X25X28;2;9;19;115;230
B169;A7485;B169 BOWL 40X20X4;7;3;24;45;315
B169;A7486;B169 BOWL 46X43X23;2;6;13;75;150
;;;;;;;
B169;A7487;B169 BOWL 70x11x5;4;5;19;60;240
B169;A7488;B169 BOWL 46x31x9;1;9;9;115;115
B169;A7489;B169 BOWL 41x19x5;-1;5;-5;65;-65
B169;A7491;B169 BOWL 25x30x6;6;3;17;35;210
B169;A7492;B169 BOWL F30 H23;1;6;6;75;75
B169;A7493;B169 BOWL 30x25x30;2;3;5;30;60
B169;A7495;B169 VASE F14 H60;2;6;13;75;150
B169;A7496;B169 BOWL 60x30x27;1;6;6;75;75
B169;A7497;B169 STAND 30x10x40;1;6;6;75;75
B169;A7499;B169 CUTTING BOARD 40x30x2;1;3;3;40;40
B169;A7501;B169 CUTTING BOARD 45x24x2;1;3;3;40;40
B169;A7504;B169 CUTTING BOARD 40x20x2;1;3;3;30;30
B169;A7506;B169 BOWL 60x30x15;1;8;8;95;95
B169;A7508;B169 BOWL 50x50x9;11;5;52;60;660
B176;A7510.1;B176 BASKET RATTAN & BLACK 33x33x40;3;11;32;44;132
B176;A7510.2;B176 BASKET RATTAN & BLACK 35x35x45;11;13;138;48;528
B176;A7510.3;B176 BASKET RATTAN & BLACK 40x40x50;1;14;14;52;52
B176;A7511.3;B176 BASKET RECTANGLE RATTAN 41x31x21;-2;10;-19;48;-96
B176;A7512.1;B176 BASKET ROUND RATTAN 35x35x45;1;11;11;56;56
;;;;;;;
B176;A7512.2;B176 BASKET ROUND RATTAN 40x40x50;1;13;13;64;64
B176;A7513.1;B176 BASKET FLAT ROUND with handles 30x30x7;1;6;6;32;32
B176;A7513.3;B176 BASKET FLAT ROUND with handles 40x40x13;1;10;10;48;48
B176;A7514.1;B176 BASKET RATTAN & WHITE 33x33x40;1;11;11;40;40
B176;A7514.2;B176 BASKET RATTAN & WHITE 35x35x45;2;13;25;48;96
B176;A7515.1;B176 BASKET RATTAN 33x33x27;7;11;75;40;280
B176;A7515.2;B176 BASKET RATTAN 38x38x29;9;13;113;48;432
B176;A7515.3;B176 BASKET RATTAN 44x44x34;9;14;129;56;504
B176;A7516.1;B176 BASKET BLACK & WHITE 33x28x24;6;14;86;56;336
B176;A7516.2;B176 BASKET BLACK & WHITE 40x35x37;6;18;108;64;384
B176;A7517.1;B176 BASKET RATTAN WHITE 27x27x32;2;11;22;40;80
B176;A7517.2;B176 BASKET RATTAN WHITE 36x36x37;2;13;25;48;96
B176;A7517.3;B176 BASKET RATTAN WHITE 41x41x43;2;14;29;56;112
B176;A7518.1BW;B176 BASKET black & white 33x33x40;4;8;32;40;160
B176;A7518.1G;B176 BASKET grey 33x33x40;10;11;108;40;400
B176;A7518.2BW;B176 BASKET black & white 35x35x45;4;10;39;48;192
B176;A7518.2G;B176 BASKET grey 35x35x45;11;13;138;48;528
B176;A7518.3BW;B176 BASKET black & white 40x40x50;3;11;34;56;168
B176;A7518.3G;B176 BASKET grey 40x40x50;11;14;158;56;616
;;;;;;;
B176;A7519.2P;B176 BASKET purple 35x35x45;6;13;75;48;288
B176;A7519.3P;B176 BASKET purple 40x40x50;6;14;86;56;336
B176;A7520.1;B176 BASKET with stripes 27x27x27;5;9;45;32;160
B176;A7520.2;B176 BASKET with stripes 36x36x29;3;11;32;40;120
B176;A7520.3;B176 BASKET with stripes 41x41x32;2;13;25;48;96
B176;A7521.1;B176 BASKET FLAT ROUND 16x16x10;16;3;52;16;256
B176;A7521.2;B176 BASKET FLAT ROUND 22x22x11;16;4;64;20;320
B176;A7521.3;B176 BASKET FLAT ROUND 28x28x12;24;5;116;24;576
B169;A7522.1;B169 OLD TEAK LESUNG 245x36x32;1;156;156;930;930
B169;A7522.2;B169 OLD TEAK LESUNG 280x38x34;1;156;156;980;980
P14;A7523;P14 T-LIGHT AVILA F12X12;3;5;15;19;57
P14;A7524;P14 DECO WITH HANDLE PHARIS F12.5X16;2;5;10;22;44
P14;A7527;P14 VASE JIRAFA F13X60.5;1;31;31;120;120
P14;A7528;P14 VASE DECO ORAVIA F9X20;2;8;16;28;56
P14;A7538;P14 ELEPHANT DECO 52X21.5X37;1;53;53;195;195
P14;A7542;P14 WALL DECO PLATE F20X2;4;5;20;20;80
B169;A7543;B169 Recycled TEAK TRAY 70x40x14cm;6;23;139;145;870
P38;A7544;P38 GIFT BOX 4CUPS NEO;1;0;0;28;28
P38;A7564;P38 VOLOMITI VASE H30;4;0;0;75;300
;;;;;;;
P38;A7574;P38 DECO BOWL GLASS GOLD F22XH5;6;0;0;36;216
P38;A7575;P38 GLASS DECO WITH LID GREEN F9XH10;5;0;0;18;90
P38;A7578;P38 CANDLE BASE GREEN GOLD F13XH10;1;0;0;18;18
B169;A7585;B169 BOWL 40x40x13;8;11;91;50;400
B172;A7587.1;B172 PLANTER POT RATTAN 27x27x40;8;56;452;85;680
B172;A7587.2;B172 POT RATTAN 33x33x52;8;0;0;100;800
B172;A7588.1;B172 BASKET AGEL F32 H42/53;15;22;330;60;900
B172;A7588.2;B172 BASKET AGEL F39 H46/56;12;26;312;75;900
B172;A7589.1;B172 BASKET SEAGRASS F33 H43/52;17;36;609;0;0
B172;A7589.1N;B172 BASKET LAUNDRY F35 H41;5;26;130;65;325
B172;A7589.1W;B172 BASKET LAUNDRY F35 H41;14;26;364;65;910
B172;A7589.2;B172 BASKET SEAGRASS F37 H50/57;18;0;0;0;0
B172;A7589.2N;B172 BASKET LAUNDRY F40 H45.5;-2;32;-64;100;-200
B172;A7589.2W;B172 BASKET LAUNDRY F40 H45.5;14;32;448;100;1400
B172;A7590;B172 TOWEL STAND RATTAN 60x25x120;2;30;60;125;250
B172;A7591;B172 TRAY & FOOD COVER F40 H23;56;26;1456;85;4760
B172;A7592;B172 TRAY & FOOD COVER  45x30x6.5/19;49;28;1372;85;4165
B172;A7593;B172 WOODEN STAND DECORATION 40x11x55;13;26;338;88;1144
B172;A7594;B172  WOODEN STAND LEAVES 33x10x81;9;39;351;129;1161
;;;;;;;
B172;A7596;B172 PLATE WOODEN F35 H14;15;22;336;75;1125
B172;A7597;B172 STAND WOODEN;5;82;410;275;1375
I37;A7598;I37 PLACEMAT F20;226;1;165;5;1130
I70;A7599.1;I70 CUP with LARGE BLACK RIM;47;0;22;6;282
I70;A7599.2;I70 BOWL with LARGE BLACK RIM 18cm;8;1;5;8;64
I70;A7599.3;I70 PLATE with LARGE BLACK RIM 20cm;20;1;10;8;160
I70;A7600.1;I70 CUP with SMALL BLACK RIM;7;1;5;10;70
I70;A7600.2;I70 PLATE with SMALL BLACK RIM 18cm;30;1;15;8;240
I70;A7600.3;I70 PLATE with SMALL BLACK RIM 28cm;19;1;17;10;190
I163;A7602;I163 PITCHER GLASS with BAMBOO LID 1.4L 8x9x25cm;45;4;194;25;1125
I163;A7603.1;I163 JAR GLASS with BAMBOO CORK LID 500ml 9.6x9.6x13.5cm;68;3;189;26;1768
I163;A7603.2;I163 JAR GLASS with BAMBOO CORK LID 800ml 9.6x9.6x17.7cm;88;3;278;30;2640
I163;A7603.3;I163 JAR GLASS with BAMBOO CORK LID 1000ml 9.6x9.6x23.7cm;19;4;67;34;646
I163;A7604;I163 JAR GLASS with BAMBOO LID & SPOON 28.5x9.5x8.5cm;26;5;141;40;1040
I163;A7605;I163 TEA POT GLASS & WOOD 450ml 15x9.5x8.5cm;23;7;170;70;1610
I163;A7606.1;I163 WATER GLASS 400ml 6.8x9x10.3cm;158;2;259;12;1896
I163;A7606.2;I163 WATER GLASS 500ml 6x8x15cm;205;2;390;15;3075
I163;A7607.1;I163 ESPRESSO DOUBLE GLASS 100ml 3.6x6x5.8cm;246;1;248;10;2460
I163;A7607.2;I163 CAPUCCINO DOUBLE GLASS 250ml;49;2;80;15;735
;;;;;;;
I163;A7608;I163 JUICE GLASS CONTAINER 8L 20x20x48cm;9;25;227;0;0
I163;A7609.1;I163 CONTAINER JAR with ACACIA LID 335ml 8x8x11cm;93;3;271;15;1395
I163;A7609.2;I163 CONTAINER JAR with ACACIA LID 580ml 8x8x16cm;50;3;158;18;900
I163;A7609.3;I163 CONTAINER JAR with ACACIA LID 800ml 8x8x20.5cm;95;3;324;21;1995
I163;A7610;I163 NUTS GLASS CONTAINER with 4 PARTITIONS 18x18x6cm;26;5;141;52;1352
I163;A7611.1;I163 GLASS CONTAINER with BAMBOO HANDLE 13x13x10cm;27;9;239;84;2268
I163;A7611.2;I163 GLASS CONTAINER with BAMBOO HANDLE 20x20x10cm;27;10;266;93;2511
I163;A7612;I163 TEA POT GLASS & WOOD 1000ml 12x12x16cm;33;7;242;42;1386
I163;A7613;I163 OIL & VINEGAR PITCHER with BAMBOO LID 17x17x23cm;52;5;263;48;2496
I163;A7614.1;I163 MEASURING GLASS JAR with BAMBOO LID 350ml 8x8x10cm;96;2;218;18;1728
I163;A7614.2;I163 MEASURING GLASS JAR with BAMBOO 500ml 8x8x14cm;76;3;192;20;1520
I163;A7614.3;I163 MEASURING GLASS JAR with BAMBOO 1000ml 10x10x16.8cm;51;3;148;22;1122
I163;A7615;I163 PITCHER GLASS with BAMBOO LID 1.8L 8x10.5x25.5cm;8;6;50;45;360
B176;A7619;B176 POT F42 H62;4;27;108;142;568
Β4;A7622;Β4 BUDHA LELAX 30CM;9;8;73;0;0
B4;A7624;B4 BUDHA HAND LEPAS 20 CM;9;4;34;65;585
B4;A7625;B4 INSENCE HOLDER;2;5;10;25;49
B4;A7627;B4 BUDHA 40 CM;1;16;16;85;85
B4;A7628;B4 DEWI LILIN @ 3 PCS;4;14;54;70;280
;;;;;;;
B4;A7629;B4 BUDHA 40 CM 2 1 PCS;2;16;33;85;170
B4;A7630;B4 INDRA WHITE STONE @ 3 PCS;9;14;127;70;630
B4;A7633;B4 ASHTRAY RIVER STONE;28;5;137;25;686
B4;A7634;B4 DISPENSER RS;4;15;59;90;360
B4;A7635;B4 ONIX TOILET ACC SET 5 SQUARE;1;54;54;300;300
B4;A7636;B4 BUDHA XS;12;2;26;10;120
B4;A7637;B4 MINI TURTLE;8;2;13;8;65
B4;A7638;B4 ONIX TOILET ACC SET 5 CYLINDER;6;49;294;250;1500
B4;A7639;B4 STANDING BUDHA 100 CM CASTING @ 2 PCS;1;38;38;190;190
B4;A7641;B4 SLEEPING BUDHA 120 CM GREEN STONE;1;103;103;520;520
I107;A7642DNB;I107 WOODEN FAN ceiling DARK NATURAL blades BLACK motor;27;84;2275;500;13500
I107;A7642NB;I107 WOODEN FAN ceiling NATURAL blades BLACK motor;3;110;330;500;1500
I107;A7642NW;I107 WOODEN FAN ceiling  NATURAL blades WHITE motor;40;84;3371;500;20000
I107;A7642WW;I107 WOODEN FAN ceiling WHITE blades WHITE motor;25;86;2138;500;12500
I126;A7643;I126 PULL DOOR HANDLE;98;7;642;45;4410
I128;A7644CHR;I128 DOOR HANDLE CHROME PAIR & KEYHOLES with cut;-3;8;-24;27;-81
I128;A7646B;I128 DOOR HANDLE BLACK PAIR & KEYHOLES;94;8;746;30;2820
I128;A7646BLEFT;I128 DOOR HANDLE BLACK LEFT & KEYHOLE;50;5;260;18;900
I128;A7646BRIGHT;I128 DOOR HANDLE BLACK RIGHT & KEYHOLE;50;5;260;18;900
;;;;;;;
I128;A7646CHRLEFT;I128 DOOR HANDLE CHROME LEFT & KEYHOLE;-1;0;0;18;-18
I185;A7651;I185 COOKWARE SET;90;31;2748;110;9900
I186;A7652.1;I186 CUTTING BOARD SQUARE 30x19x1.4cm;37;2;59;16;588
I186;A7652.2;I186 CUTTING BOARD SQUARE 36x26x1.4cm;37;2;90;24;895
I186;A7652.3;I186 CUTTING BOARD SQUARE 40x30x1.4cm;115;3;383;33;3830
I186;A7652.4;I186 CUTTING BOARD ROUND 33x25x1;45;2;101;23;1013
I138;A7653;I138 KETTLE 0.8L WHITE;70;13;895;70;4900
I138;A7657;I138 MINI BAR 42L 42x42x51.5 BLACK;-1;91;-91;435;-435
I138;A7661;I138 SAFE 42x37x20;40;47;1868;255;10200
B169;A7670.1;B169 DECORATIVE BRANCHES 3x2x100;280;2;459;15;4200
B169;A7670.1B;B169 DOOR HANDLE OIK5.2.2 5x5x40;1;139;139;861;861
B169;A7670.2;B169 DECORATIVE BRANCHES 3x2x160;300;2;657;22;6626
B169;A7670.2B;B169 DOOR HANDLE OIK5.2.2 5x5x50;2;129;258;799;1598
B169;A7670.3;B169 DECORATIVE BRANCHES 3x2x180;20;6;111;41;828
Β169;A7670.3B;B169 DOOR HANDLE OIK5.2.2 5x5x40;7;0;0;0;0
B169;A7678;B169 BOWL TAM 37X37X19;5;14;68;94;470
B169;A7679;B169 BOWL TAM LONG 51X22X14;11;7;75;47;517
B169;A7680;B169 VASE TAM 20X20X30;7;8;54;53;371
B169;A7681;B169 BOWL LONG TAM 55X22X16;7;8;54;53;371
;;;;;;;
B169;A7682;B169 VASE TEAK 19X19X19;8;7;54;47;376
B169;A7683;B169 BOWL PLATE TEAK 50X50X6;1;16;16;110;110
B169;A7684;B169 BOWL PLATE TEAK 35X30X4;7;6;41;41;287
B169;A7685;B169 CUTTING BOARD TEAK 34X28X2;1;6;6;41;41
B169;A7687;B169 CUTTING BOARD TEAK 76X29X2;2;10;20;69;138
B169;A7688;B169 CUTTING BOARD TEAK 60X26X2;2;9;18;63;126
B169;A7689;B169 BOWL TAM  40X40X19;4;16;63;110;440
P38;A7691;P38 TABLECLOTH CORINO THYME 160X160CM WASHED COTTON;1;17;17;61;61
P38;A7692;P38 TABLECLOTH CORINO THYME 250X160CM WASHED COTTON;1;24;24;89;89
P38;A7693;P38 TABLECLOTH CORINO THYME 320X160CM WASHED COTTON;1;30;30;114;114
P38;A7694;P38 TABLECLOTH CORINO NATURAL 160X160CM WASHED COTTON;1;17;17;61;61
P38;A7695;P38 TABLECLOTH CORINO NATURAL 250X160CM WASHED COTTON;1;24;24;89;89
P38;A7696;P38 TABLECLOTH CORINO NATURAL 320X160CM WASHED COTTON;1;30;30;114;114
P38;A7697;P38 DECANTER VINO 1.5L-D19.5XH24CM GLASS;2;17;34;62;124
P38;A7698;P38 PASTA SPOON BAQUEIRA NAT STAINLESS STEEL+BAMBOO;3;13;40;47;140
P38;A7699;P38 PIZZA SLICER BAQUEIRA NATUR STAINLESS STEEL+BAMBOO;2;12;24;41;82
P38;A7702;P38 CUSHION COVER CARNELE NATURAL 50X30 POLYESTER+JUTE;4;9;35;29;115
;;;;;;;
P38;A7703;P38 CUSHION COVER CARNELE GREEN 50X30CM POLYESTER+JUTE;1;9;9;29;29
P38;A7704;P38 CEILING LAMP ELUMINEA BLACK 17X15XH50 GLASS+BRASS;1;125;125;492;492
P38;A7705;P38 CEILING LAMP ELUMINEA BLACK 20X20XH53 GLASS+BRASS;1;109;109;428;428
P38;A7706;P38 DEEP DISH DALBERT NATURAL D35XH6CM ACACIA WOOD;1;19;19;68;68
P38;A7712;P38 DINNER PLATE CONSTANCE TURQUOISE D28.5CM;12;5;64;15;178
P38;A7713;P38 DESSERT PLATE CONSTANCE TURQUOISE D23.5CM;12;5;60;14;163
P38;A7714;P38 SALAD BOWL CONSTANCE TURQUOISE D30CM;1;16;16;56;56
P38;A7715;P38 CEREAL BOWL CONSTANCE TURQUOISE D19CM;12;5;60;14;163
P38;A7716;P38 BREAKFAST CUP&SAUCER CONSTANCE TURQUOISE 37.5CL;6;8;50;27;161
P38;A7717;P38 CONSTANCE WHITE PAT.CHARGER PLATE D32.5;4;8;32;25;101
P38;A7721;P38 CONSTANCE WHITE PAT.PASTA D27CM;12;5;64;15;178
P38;A7724;P38 TUMBLER LOREA GREY 20CL-D7XH7CM GLASS;7;5;33;12;87
P38;A7728;P38 CEREAL BOWL X3+TRAY TERREA BLUE D9XH5.5 STONEWARE;1;13;13;47;47
P38;A7731;P38 FILTER TEAPOT 74324/75223 GREY D9 STAINLESS STEEL;6;3;19;6;38
P38;A7732;P38 TEAPOT W/ROPE HANDLE POINT BLACK 1.3L CAST IRON;1;27;27;102;102
P38;A7735.2;P38 TRAY X2 CORDE NT D39H11+D30.5H9.5 WATER PLANT+IRON;1;8;8;43;43
P38;A7738;P38 CUP ETERRA BROWN D27.5XH13.5CM MANGO WOOD;5;35;175;120;600
P38;A7741;P38 CUSHION COVER AMERIDA TERRACOTTA 45X45 COTTON;1;9;9;30;30
;;;;;;;
P38;A7742;P38 CUSHION COVER AMERIDA TERRACOTTA 50X30 COTTON;2;11;22;38;77
P38;A7746;P38 MATT TEAPOT W/F TER-BOHEM BLCK+CR 67.5CL STONEWARE;1;13;13;45;45
P38;A7747;P38 PAINTING AFRICAINE GOLD GALLERY 70X100 POLYEST+FIR;1;39;39;150;150
P38;A7748;P38 DECO GLOBE MAPPA GOLD+BLACK D20XH28CM PLASTIC+IRON;1;17;17;62;62
P38;A7749;P38 LAMPSHADE TERRE BOHE BEIGE D30XH15CM LINEN;2;13;27;47;94
P38;A7750;P38 LAMPSHADE GRAPHIQUE NATURAL D20XH13CM JUTE;3;8;24;25;76
P38;A7753;P38 WATER GLASS DANIA CLEAR 27CL-D9XH16CM CRYSTALLIN;6;5;28;12;72
P38;A7755;P38 PASTA PLATE CONSTANCE TURQUOISE D27CM;12;5;64;15;178
P38;A7763;P38 WALL CLOCK RETRO WHITE+GOLD D43X10CM MARBLE+BRAS;1;53;53;214;214
P38;A7766;P38 BOTTLE COVER EDNNA BROWN D11XH23.5CM RATTAN;1;24;24;94;94
I206;A7781;I206 Paper Box Size C 14X19.6X6,5CM;7;0;1;0;0
P14;A7786;P14 Vase deco Ø18x26 cm GIVRON matt black;3;24;72;108;325
P14;A7787;P14 Pot deco Ø23x33 cm VERTAS ceramics cement;1;29;29;137;137
P14;A7788;P14 Vase deco Ø8x12 cm KAWAR matt black;2;9;18;34;69
P14;A7789;P14 Vase deco Ø10x15 cm KAWAR matt black;-2;10;-20;41;-83
P14;A7790;P14 Vase Ø23x41 cm PERLY glass olive green;3;36;108;169;506
P14;A7791;P14 Vase Ø16x30 cm LEILA glass dark brown;6;18;108;82;490
P14;A7793;P14 Vase deco Ø20x20 cm MOKADO black;2;25;50;115;230
;;;;;;;
P14;A7794;P14 Vase deco 18x13x51 cm JUBILE matt black;2;65;130;316;632
P14;A7795;P14 Tray S/2 48x21x3,5+58x24x3,5 cm RAUZAN brown;1;41;41;195;195
P14;A7796;P14 Dish deco Ø25x10 cm GELAN brown;3;9;27;35;105
P14;A7797;P14 Dish 60x23,5x2,5 cm WANDA matt black;2;47;94;222;445
P14;A7798;P14 Dish deco Ø30x12 cm KABUL dark peach;4;13;52;59;234
P14;A7799;P14 Dish 41x17,5 cm LARS raw nickel;4;26;104;122;487
P14;A7801;P14 Dish Ø47x5 cm LARRE light gold;5;26;130;119;594
